INFO 2026-05-15 14:41:17,547 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:41:42,740 autoreload D:\laian\Desktop\Yaman\projects\yasca-dental\backend\api\models.py changed, reloading.
INFO 2026-05-15 14:41:43,505 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:42:42,518 autoreload D:\laian\Desktop\Yaman\projects\yasca-dental\backend\api\views.py changed, reloading.
INFO 2026-05-15 14:42:43,480 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:43:16,808 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:43:16,863 log "GET /api/dashboard/today/ HTTP/1.1" 200 2055
INFO 2026-05-15 14:44:14,361 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:44:14,395 log "GET /api/dashboard/today/ HTTP/1.1" 200 2055
INFO 2026-05-15 14:44:48,955 autoreload D:\laian\Desktop\Yaman\projects\yasca-dental\backend\api\serializers.py changed, reloading.
INFO 2026-05-15 14:44:49,703 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:45:30,850 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:45:30,881 log "GET /api/dashboard/today/ HTTP/1.1" 200 2055
INFO 2026-05-15 14:46:26,955 autoreload D:\laian\Desktop\Yaman\projects\yasca-dental\backend\api\models.py changed, reloading.
INFO 2026-05-15 14:46:28,141 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:46:36,148 autoreload D:\laian\Desktop\Yaman\projects\yasca-dental\backend\api\serializers.py changed, reloading.
INFO 2026-05-15 14:46:37,291 autoreload Watching for file changes with StatReloader
INFO 2026-05-15 14:51:00,117 log "GET /api/dashboard/today/ HTTP/1.1" 200 2184
INFO 2026-05-15 14:51:51,208 log "GET /api/auth/me/ HTTP/1.1" 200 115
INFO 2026-05-15 14:51:51,236 log "GET /api/dashboard/today/ HTTP/1.1" 200 2184
INFO 2026-05-15 14:51:52,309 log "OPTIONS /api/treatment-types/ HTTP/1.1" 200 0
INFO 2026-05-15 14:51:52,317 log "GET /api/treatment-types/ HTTP/1.1" 200 593
INFO 2026-05-15 14:52:02,255 log "OPTIONS /api/treatment-types/7/ HTTP/1.1" 200 0
INFO 2026-05-15 14:52:02,277 log "DELETE /api/treatment-types/7/ HTTP/1.1" 204 0
INFO 2026-05-15 14:52:02,289 log "GET /api/treatment-types/ HTTP/1.1" 200 510
INFO 2026-05-15 14:52:15,090 log "GET /api/dashboard/today/ HTTP/1.1" 200 2184
INFO 2026-05-15 14:52:22,006 log "GET /api/patients/ HTTP/1.1" 200 2275
INFO 2026-05-15 14:52:24,001 log "OPTIONS /api/patients/2/ HTTP/1.1" 200 0
INFO 2026-05-15 14:52:24,002 log "OPTIONS /api/treatments/?patient=2 HTTP/1.1" 200 0
